Ticket,CopyNum,JobId,SwapTradeId,HypoTradeId,SwapWeight_AsStored,SwapWeight_Correct,BookValue,BookValueHedged,FK_ip_amort,FK_ip_accret
403085277,1,1794,3208685,3208742,0.055555556,0.111111111,49909736.300,46336718.153,NULL,285996
403085277,2,1794,3208685,3208742,0.055555556,0.111111111,49909736.300,46336718.153,NULL,286008
403085278,1,1794,3208685,3208742,0.055555556,0.111111111,49909736.300,46336718.153,NULL,285997
403085278,2,1794,3208685,3208742,0.055555556,0.111111111,49909736.300,46336718.153,NULL,286017
403085279,1,1794,3208685,3208742,0.055555556,0.111111111,49909736.300,46336718.153,NULL,285998
403085279,2,1794,3208685,3208742,0.055555556,0.111111111,49909736.300,46336718.153,NULL,286015
403085280,1,1794,3208685,3208742,0.055555556,0.111111111,49909736.300,46336718.153,NULL,285999
403085280,2,1794,3208685,3208742,0.055555556,0.111111111,49909736.300,46336718.153,NULL,286014
403085351,1,1794,3208685,3208742,0.055555556,0.111111111,49825984.950,46252966.803,NULL,286000
403085351,2,1794,3208685,3208742,0.055555556,0.111111111,49825984.950,46252966.803,NULL,286013
403085352,1,1794,3208685,3208742,0.055555556,0.111111111,49825984.950,46252966.803,NULL,286012
403085352,2,1794,3208685,3208742,0.055555556,0.111111111,49825984.950,46252966.803,NULL,286001
403085353,1,1794,3208685,3208742,0.055555556,0.111111111,49825984.950,46252966.803,NULL,286002
403085353,2,1794,3208685,3208742,0.055555556,0.111111111,49825984.950,46252966.803,NULL,286011
403085615,1,1794,3208685,3208742,0.055555556,0.111111111,49641223.360,46068205.213,NULL,286010
403085615,2,1794,3208685,3208742,0.055555556,0.111111111,49641223.360,46068205.213,NULL,286003
403085616,1,1794,3208685,3208742,0.055555556,0.111111111,49641223.360,46068205.213,NULL,286004
403085616,2,1794,3208685,3208742,0.055555556,0.111111111,49641223.360,46068205.213,NULL,286009
